　A00-A09　腸管感染症
B37.8　その他の部位のカンジダ症
B37.9　カンジダ症，詳細不明
B38　コクシジオイデス症
B38.0　急性肺コクシジオイデス症
B38.1　慢性肺コクシジオイデス症
B38.2　肺コクシジオイデス症，詳細不明
B38.3　皮膚コクシジオイデス症
B38.4　コクシジオイデス性髄膜炎
B38.7　播種性コクシジオイデス症
B38.8　その他の型のコクシジオイデス症
B38.9　コクシジオイデス症，詳細不明
B39　ヒストプラスマ症
B39.0　カプスラーツム急性肺ヒストプラスマ症
B39.1　カプスラーツム慢性肺ヒストプラスマ症
B39.2　カプスラーツム肺ヒストプラスマ症，詳細不明
B39.3　カプスラーツム播種性ヒストプラスマ症
B39.4　カプスラーツムヒストプラスマ症，詳細不明
B39.5　ズボアジヒストプラスマ症
B39.9　ヒストプラスマ症，詳細不明
B40　ブラストミセス症
B40.0　急性肺ブラストミセス症
B40.1　慢性肺ブラストミセス症
B40.2　肺ブラストミセス症，詳細不明
B40.3　皮膚ブラストミセス症
B40.7　播種性ブラストミセス症
B40.8　その他の型のブラストミセス症
B40.9　ブラストミセス症，詳細不明
B41　パラコクシジオイデス症
B41.0　肺パラコクシジオイデス症
B41.7　播種性パラコクシジオイデス症
B41.8　その他の型のパラコクシジオイデス症
B41.9　パラコクシジオイデス症，詳細不明
B42　スポロトリコーシス
B42.0　肺スポロトリコーシス
B42.1　リンパ管皮膚型スポロトリコーシス
B42.7　播種性スポロトリコーシス
B42.8　その他の型のスポロトリコーシス
B42.9　スポロトリコーシス，詳細不明
B43　クロモミコーシス及びフェオミコーシス性膿瘍
B43.0　皮膚クロモミコーシス
B43.1　フェオミコーシス性脳膿瘍
B43.2　皮下フェオミコーシス性膿瘍及びのう＜嚢＞胞
B43.8　その他の型のクロモミコーシス
B43.9　クロモミコーシス，詳細不明
B44　アスペルギルス症
B44.0　侵襲性肺アスペルギルス症
B44.1　その他の肺アスペルギルス症
B44.2　扁桃アスペルギルス症
B44.7　播種性アスペルギルス症
B44.8　その他の型のアスペルギルス症
B44.9　アスペルギルス症，詳細不明
B45　クリプトコックス症
B45.0　肺クリプトコックス症
B45.1　脳クリプトコックス症
B45.2　皮膚クリプトコックス症
B45.3　骨クリプトコックス症
B45.7　播種性クリプトコックス症
B45.8　その他の型のクリプトコックス症
B45.9　クリプトコックス症，詳細不明
B46　接合菌症
B46.0　肺ムーコル＜ムコール＞症
B46.1　鼻脳ムーコル＜ムコール＞症
B46.2　胃腸ムーコル＜ムコール＞症
B46.3　皮膚ムーコル＜ムコール＞症
B46.4　播種性ムーコル＜ムコール＞症
B46.5　ムーコル＜ムコール＞症，詳細不明
B46.8　その他の接合菌症
B46.9　接合菌症，詳細不明
B47　菌腫
B47.0　真菌性菌腫
B47.1　放線菌腫
B47.9　菌腫，詳細不明
B48　その他の真菌症，他に分類されないもの
B48.0　ロボア症＜ロボミコーシス＞
B48.1　リノスポリジウム症
B48.2　アレシェリア症
B48.3　ゲオトリクム症
B48.4　ペニシリウム症
B48.7　日和見真菌症
B48.8　その他の明示された真菌症
B49　詳細不明の真菌症
　B50-B64　原虫疾患
B50　熱帯熱マラリア
B50.0　熱帯熱マラリア，脳合併症を伴うもの
B50.8　その他の重症熱帯熱マラリア及び合併症を伴う熱帯熱マラリア
B50.9　熱帯熱マラリア，詳細不明
B51　三日熱マラリア
B51.0　三日熱マラリア，脾破裂を伴うもの
B51.8　三日熱マラリア，その他の合併症を伴うもの
B51.9　三日熱マラリア，合併症を伴わないもの
B52　四日熱マラリア
B52.0　四日熱マラリア，腎症＜ネフロパシー＞を伴うもの
B52.8　四日熱マラリア，その他の合併症を伴うもの
B52.9　四日熱マラリア，合併症を伴わないもの
B53　その他の寄生虫学的に確認されたマラリア
B53.0　卵形マラリア
B53.1　サルマラリア原虫によるマラリア
B53.8　その他の寄生虫学的に確認されたマラリア，他に分類されないもの
B54　詳細不明のマラリア
B55　リーシュマニア症
B55.0　内臓リーシュマニア症
B55.1　皮膚リーシュマニア症
B55.2　皮膚粘膜リーシュマニア症
B55.9　リーシュマニア症，詳細不明
B56　アフリカトリパノソーマ症
B56.0　ガンビアトリパノソーマ症
B56.1　ローデシアトリパノソーマ症
B56.9　アフリカトリパノソーマ症，詳細不明
B57　シャーガス＜Chagas＞病
B57.0　急性シャーガス＜Chagas＞病，心障害を伴うもの
B57.1　急性シャーガス＜Chagas＞病，心障害を伴わないもの
B57.2　シャーガス＜Chagas＞病（慢性），心障害を伴うもの
B57.3　シャーガス＜Chagas＞病（慢性），消化器障害を伴うもの
B57.4　シャーガス＜Chagas＞病（慢性），神経系障害を伴うもの
B57.5　シャーガス＜Chagas＞病（慢性），その他の臓器障害を伴うもの
B58　トキソプラズマ症
B58.0　トキソプラズマ眼障害
B58.1　トキソプラズマ肝炎
B58.2　トキソプラズマ髄膜脳炎
B58.3　肺トキソプラズマ症
B58.8　トキソプラズマ症，その他の臓器障害を伴うもの
B58.9　トキソプラズマ症，詳細不明
B59　ニューモシスチス症
B60　その他の原虫疾患，他に分類されないもの
B60.0　バベシア症
B60.1　アカントアメーバ症
B60.2　ネグレリア症
B60.8　その他の明示された原虫疾患
B64　詳細不明の原虫疾患
　B65-B83　ぜん＜蠕＞虫症
B65　住血吸虫症
B65.0　ビルハルツ住血吸虫症［尿住血吸虫症］
B65.1　マンソン住血吸虫症［腸住血吸虫症］
B65.2　日本住血吸虫症
B65.3　セルカリア皮膚炎
B65.8　その他の住血吸虫症
B65.9　住血吸虫症，詳細不明
B66　その他の吸虫感染症
B66.0　オピストルキス症
B66.1　肝吸虫＜肝ジストマ＞症
B66.2　二腔吸虫感染症
B66.3　肝蛭症
B66.4　肺吸虫症
B66.5　肥大吸虫症
B66.8　その他の明示された吸虫感染症
B66.9　吸虫感染症，詳細不明
B67　エキ＜ヒ＞ノコックス症
B67.0　肝の単包条虫感染症
B67.1　肺の単包条虫感染症
B67.2　骨の単包条虫感染症
B67.3　その他及び多部位の単包条虫感染症
B67.4　単包条虫感染症，詳細不明
B67.5　肝の多包条虫感染症
B67.6　その他及び多部位の多包条虫感染症
B67.7　多包条虫感染症，詳細不明
B67.8　肝の詳細不明のエキ＜ヒ＞ノコックス症
B67.9　エキ＜ヒ＞ノコックス症，その他及び詳細不明
B68　条虫症
B68.0　有鉤条虫症
B68.1　無鉤条虫症
B68.9　条虫症，詳細不明
B69　のう＜嚢＞（尾）虫症
B69.0　中枢神経系ののう＜嚢＞（尾）虫症
B69.1　眼ののう＜嚢＞（尾）虫症
B69.8　その他の部位ののう＜嚢＞（尾）虫症
B69.9　のう＜嚢＞（尾）虫症，詳細不明
B70　裂頭条虫症及び孤虫症＜スパルガーヌム症＞
B70.0　裂頭条虫症
B70.1　孤虫症＜スパルガーヌム症＞
B71　その他の条虫感染症
B71.0　ヒメノレピス条虫症
B71.1　瓜実条虫症
B71.8　その他の明示された条虫感染症
B71.9　条虫感染症，詳細不明
B72　メジナ虫症＜ドラカ＜ク＞ンクルス症＞
B73　オンコセルカ症
B74　フィラリア症＜糸状虫症＞
B74.0　バンクロフト糸状虫によるフィラリア症＜糸状虫症＞
B74.1　マレー糸状虫によるフィラリア症＜糸状虫症＞
B74.2　チモール糸状虫によるフィラリア症＜糸状虫症＞
B74.3　ロア糸状虫症
B74.4　マンソネラ症
B74.8　その他のフィラリア症＜糸状虫症＞
B74.9　フィラリア症＜糸状虫症＞，詳細不明
B75　旋毛虫症
B76　鉤虫症
B76.0　十二指腸虫症
B76.1　アメリカ鉤虫症
B76.8　その他の鉤虫症
B76.9　鉤虫症，詳細不明
B77　回＜蛔＞虫症
B77.0　回＜蛔＞虫症，腸合併症を伴うもの
B77.8　回＜蛔＞虫症，その他の合併症を伴うもの
B77.9　回＜蛔＞虫症，詳細不明
B78　糞線虫症
B78.0　腸糞線虫症
B78.1　皮膚糞線虫症
B78.7　播種性糞線虫症
B78.9　糞線虫症，詳細不明
B79　鞭虫症
B80　ぎょう＜蟯＞虫症
B81　その他の腸ぜん＜蠕＞虫症，他に分類されないもの
B81.0　アニサキス症
B81.1　腸毛頭虫＜カピラリア＞症
B81.2　毛様線虫症
B81.3　腸住血線虫症
B81.4　混合腸ぜん＜蠕＞虫症
B81.8　その他の明示された腸ぜん＜蠕＞虫症
B82　詳細不明の腸寄生虫症
B82.0　腸ぜん＜蠕＞虫症，詳細不明
B82.9　腸寄生虫症，詳細不明
B83　その他のぜん＜蠕＞虫症
B83.0　内臓幼虫移行症
B83.1　顎口虫症
B83.2　広東住血線虫症
B83.3　気管線虫症
B83.4　内部蛭寄生症
B83.8　その他の明示されたぜん＜蠕＞虫症
B83.9　ぜん＜蠕＞虫症，詳細不明
　B85-B89　シラミ症，ダニ症及びその他の動物寄生症
B85　シラミ症及びケジラミ症
B85.0　アタマジラミによるシラミ症
B85.1　コロモジラミによるシラミ症
B85.2　シラミ症，詳細不明
B85.3　ケジラミ症
B85.4　シラミ及びケジラミの混合寄生症
B86　かいせん＜疥癬＞
B87　ハエ幼虫症
B87.0　皮膚ハエ幼虫症
B87.1　創傷ハエ幼虫症
B87.2　眼ハエ幼虫症
B87.3　鼻咽頭ハエ幼虫症
B87.4　耳ハエ幼虫症
B87.8　その他の部位のハエ幼虫症
B87.9　ハエ幼虫症，詳細不明
B88　その他の寄生症
B88.0　その他のダニ症
B88.1　スナノミ症［スナノミの寄生症］
B88.2　その他の節足動物寄生症
B88.3　外部蛭寄生症
B88.8　その他の明示された寄生症
B88.9　寄生症，詳細不明
B89　詳細不明の寄生虫症
　B90-B94　感染症及び寄生虫症の続発・後遺症
B90　結核の続発・後遺症
B90.0　中枢神経系結核の続発・後遺症
B90.1　腎尿路生殖器結核の続発・後遺症
B90.2　骨及び関節の結核の続発・後遺症
B90.8　その他の臓器の結核の続発・後遺症
B90.9　呼吸器及び詳細不明の結核の続発・後遺症
B91　灰白髄炎＜ポリオ＞の続発・後遺症
B92　ハンセン＜Hansen＞病の続発・後遺症
B94　その他及び詳細不明の感染症及び寄生虫症の続発・後遺症
B94.0　トラコーマの続発・後遺症
B94.1　ウイルス（性）脳炎の続発・後遺症
B94.2　ウイルス性肝炎の続発・後遺症
B94.8　その他の明示された感染症及び寄生虫症の続発・後遺症
B94.9　詳細不明の感染症又は寄生虫症の続発・後遺症
　B95-B98　細菌，ウイルス及びその他の病原体
B95　他章に分類される疾患の原因である連鎖球菌及びブドウ球菌
B95.0　他章に分類される疾患の原因であるA群連鎖球菌
B95.1　他章に分類される疾患の原因であるB群連鎖球菌
B95.2　他章に分類される疾患の原因であるD群連鎖球菌
B95.3　他章に分類される疾患の原因である肺炎連鎖球菌
B95.4　他章に分類される疾患の原因であるその他の連鎖球菌
B95.5　他章に分類される疾患の原因である詳細不明の連鎖球菌
B95.6　他章に分類される疾患の原因である黄色ブドウ球菌
B95.7　他章に分類される疾患の原因であるその他のブドウ球菌
B95.8　他章に分類される疾患の原因である詳細不明のブドウ球菌
B96　他章に分類される疾患の原因であるその他の明示された細菌性病原体
B96.0　他章に分類される疾患の原因である肺炎マイコプラズマ［M.pneumoniae］
B96.1　他章に分類される疾患の原因である肺炎桿菌［K.pneumoniae］
B96.2　他章に分類される疾患の原因である大腸菌［E.coli］
B96.3　他章に分類される疾患の原因であるインフルエンザ菌［H.influenzae］
B96.4　他章に分類される疾患の原因であるプロテウス菌＜P.mirabilis＞＜P.morganii＞
B96.5　他章に分類される疾患の原因である緑膿菌＜P.aeruginosa＞
B96.6　他章に分類される疾患の原因であるバシラスフラギリス［B.fragilis］
B96.7　他章に分類される疾患の原因であるウェルシュ菌［C.perfringens］
B96.8　他章に分類される疾患の原因であるその他の明示された細菌性病原体
B97　他章に分類される疾患の原因であるウイルス病原体
B97.0　他章に分類される疾患の原因であるアデノウイルス
B97.1　他章に分類される疾患の原因であるエンテロウイルス
B97.2　他章に分類される疾患の原因であるコロナウイルス
B97.3　他章に分類される疾患の原因であるレトロウイルス
B97.4　他章に分類される疾患の原因であるRSウイルス
B97.5　他章に分類される疾患の原因であるレオウイルス
B97.6　他章に分類される疾患の原因であるパルボウイルス
B97.7　他章に分類される疾患の原因である乳頭腫ウイルス
B97.8　他章に分類される疾患の原因であるその他のウイルス病原体
B98　他章に分類される疾患の原因であるその他の明示された感染性病原体
B98.0　他章に分類される疾患の原因であるヘリコバクター・ピロリ［H.pylori］
B98.1　他章に分類される疾患の原因であるビブリオ・バルニフィカス
　B99-B99　その他の感染症
B99　その他及び詳細不明の感染症
